Entity,Code,Year,"Other renewables (TWh, substituted energy)","Biofuels (TWh, substituted energy)","Solar (TWh, substituted energy)","Wind (TWh, substituted energy)","Hydropower (TWh, substituted energy)","Nuclear (TWh, substituted energy)","Gas (TWh, substituted energy)","Oil (TWh, substituted energy)","Coal (TWh, substituted energy)","Traditional biomass (TWh, substituted energy)"
World,OWID_WRL,1981,164.9076,29.747923,0,0.031048333,5230.6284,2385.6428,14395.873,34268.04,21149.68,10106
World,OWID_WRL,1982,191.2329,37.556244,0,0.054704163,5325.2656,2588.3174,14469.734,33208.07,21385.451,10213
World,OWID_WRL,1983,211.77058,49.01924,0.008870971,0.09697445,5552.5425,2933.459,14703.833,32956.613,22046.346,10321
World,OWID_WRL,1984,236.32065,57.806423,0.018661888,0.13234167,5740.62,3559.8567,15902.68,33680.13,23001.078,10430
World,OWID_WRL,1985,243.15495,68.41009,0.03473722,0.18989833,5852.605,4224.8374,16262.222,33667.098,23987.826,10541
World,OWID_WRL,1986,263.68542,84.20299,0.04489833,0.4105228,5931.9126,4525.0864,16421.11,34712.902,24258.035,10653
World,OWID_WRL,1987,282.4433,85.33012,0.031353053,0.57772696,6012.1157,4922.331,17281.895,35404.36,25212.426,10765
World,OWID_WRL,1988,290.86093,89.560196,0.030149443,0.980478,6204.8037,5366.448,18088.848,36551.46,25967.129,10879
World,OWID_WRL,1989,322.35043,95.68924,0.77539134,7.835361,6172.975,5518.996,18888.676,37164.043,26215.674,10995
World,OWID_WRL,1990,361.19138,106.64288,1.1483465,10.741176,6383.708,5676.7207,19481.125,37676.57,25906.625,11111
World,OWID_WRL,1991,376.81265,110.728714,1.4942344,12.082573,6531.108,5948.311,19972.84,37663.043,25658.182,11243
World,OWID_WRL,1992,404.78116,108.79633,1.379965,13.994874,6530.39,5993.4634,20063.484,38147.168,25558.422,11376
World,OWID_WRL,1993,418.23853,114.44431,1.6460894,16.867165,6923.671,6199.8696,20265.482,37961.344,25688.932,11511
World,OWID_WRL,1994,434.65265,124.175285,1.7652723,21.088448,6967.2666,6316.248,20389.613,38782.055,25788.928,11647
World,OWID_WRL,1995,454.25476,131.20163,1.8891695,24.46058,7344.2354,6590.213,21104.494,39460.77,25966.357,11785
World,OWID_WRL,1996,466.32935,125.91322,2.0676155,27.250431,7442.8306,6828.8057,22159.256,40334.64,26584.988,11925
World,OWID_WRL,1997,499.9418,130.18306,2.2167242,35.567307,7573.9106,6781.843,22030.393,41453.445,26540.139,12066
World,OWID_WRL,1998,520.55,133.53989,2.4006376,47.10265,7632.345,6898.552,22433.998,41670.18,26372.479,12209
World,OWID_WRL,1999,546.14624,135.43088,2.6769266,62.767708,7690.094,7161.0522,23071.902,42383.22,26485.373,12414
World,OWID_WRL,2000,571.651,132.91783,3.1327264,92.87796,7826.347,7322.6826,23994.258,42978.04,27434.627,12500
World,OWID_WRL,2001,593.69916,131.35425,4.1827884,112.75258,7575.7827,7480.557,24316.832,43377.22,27864.945,12500
World,OWID_WRL,2002,639.19446,159.00194,5.252374,152.89404,7665.752,7551.0767,25030.172,43676.043,28962.951,12470
World,OWID_WRL,2003,674.7783,178.32689,6.541638,183.53348,7607.18,7350.6562,25729.617,44652.22,31506.16,12329
World,OWID_WRL,2004,729.37866,210.21715,8.563793,246.72266,8116.5034,7635.7695,26721.139,46387.812,33685.52,12160
World,OWID_WRL,2005,789.99854,246.52557,11.99108,299.59247,8336.344,7607.3535,27438.281,46887.754,36183.348,12076
World,OWID_WRL,2006,841.28894,306.51932,16.39757,379.86954,8599.518,7653.7217,28161.41,47388.004,38068.867,11993
World,OWID_WRL,2007,913.1756,397.3358,22.108496,484.96048,8687.896,7450.836,29315.736,47942.97,40231.242,11911
World,OWID_WRL,2008,976.6638,538.46704,35.682663,622.1905,9137.472,7381.6016,30026.16,47537.797,40780.08,11829
World,OWID_WRL,2009,1049.1632,610.6535,58.852226,773.0175,9066.387,7232.23,29405.35,46489.17,40144.2,11747
World,OWID_WRL,2010,1173.9039,699.7631,94.12616,961.486,9520.602,7373.091,31593.695,47971.41,41937.48,11667
World,OWID_WRL,2011,1232.3865,735.38153,181.10184,1215.6783,9635.082,7021.4863,32349.238,48312.62,43895.938,11553
World,OWID_WRL,2012,1334.975,762.47174,278.36545,1454.6062,9985.715,6500.3687,33203.004,49113.688,44022.523,11441
World,OWID_WRL,2013,1442.059,828.65063,377.72363,1732.0238,10324.202,6512.8066,33741.91,49590.31,44670.625,11330
World,OWID_WRL,2014,1560.9077,878.8694,534.40076,1912.321,10535.74,6606.008,33977.36,49934.684,44858.12,11220
World,OWID_WRL,2015,1688.6459,912.97784,689.34564,2238.8726,10447.261,6655.106,34788.023,50964.02,43669.83,11111
World,OWID_WRL,2016,1714.8402,953.7291,879.17914,2575.6694,10746.731,6714.155,35592.57,51992.56,42715.14,11111
World,OWID_WRL,2017,1826.1881,974.0694,1185.5515,3037.927,10834.706,6734.279,36521.11,52866.46,43129.867,11111
World,OWID_WRL,2018,1973.996,1049.8936,1523.3044,3358.8267,11084.954,6855.408,38355.83,53405.137,43795.4,11111
World,OWID_WRL,2019,2072.3691,1124.6016,1858.954,3744.7256,11185.189,7071.7817,39058.266,53512.844,43534.613,11111
World,OWID_WRL,2020,2182.6973,1073.7583,2243.835,4186.181,11448.027,6776.866,38603.406,48609.645,42233.39,11111
World,OWID_WRL,2021,2335.3115,1142.8717,2771.829,4851.594,11222.36,7037.069,40670.66,51349.656,44564.812,11111
World,OWID_WRL,2022,2413.8076,1199.2067,3448.2373,5487.6,11299.816,6702.3394,39413.043,52969.59,44854.035,11111
