Entity,Code,Year,Global average temperature anomaly relative to 1961-1990,Upper bound (95% confidence interval) of the annual temperature anomaly,Lower bound (95% confidence interval) of the annual temperature anomaly
Global,,1944,0.14410514,0.3427051,-0.054494828
Global,,1945,0.043088365,0.24345961,-0.15728289
Global,,1946,-0.1188128,0.028331792,-0.2659574
Global,,1947,-0.091205545,0.04937931,-0.23179041
Global,,1948,-0.12466127,0.009810844,-0.25913337
Global,,1949,-0.14380224,-0.033526987,-0.2540775
Global,,1950,-0.22662179,-0.12058662,-0.33265698
Global,,1951,-0.06115397,0.028042298,-0.15035024
Global,,1952,0.015354565,0.11364509,-0.08293597
Global,,1953,0.07763074,0.1757911,-0.020529618
Global,,1954,-0.11675021,-0.024997713,-0.20850271
Global,,1955,-0.19730993,-0.1101899,-0.28442997
Global,,1956,-0.2631656,-0.18720557,-0.33912563
Global,,1957,-0.035334926,0.029898768,-0.10056862
Global,,1958,-0.017632553,0.04780945,-0.083074555
Global,,1959,-0.048004825,0.0143540995,-0.11036375
Global,,1960,-0.115487024,-0.056808177,-0.17416587
Global,,1961,-0.019997388,0.030785747,-0.07078052
Global,,1962,-0.06405444,-0.010794453,-0.11731443
Global,,1963,-0.03680589,0.016958294,-0.09057008
Global,,1964,-0.30586675,-0.26224136,-0.34949213
Global,,1965,-0.2043879,-0.15520222,-0.25357357
Global,,1966,-0.14888458,-0.09937696,-0.19839221
Global,,1967,-0.11751631,-0.07440783,-0.16062479
Global,,1968,-0.1686323,-0.124011464,-0.21325313
Global,,1969,-0.031366713,0.009132013,-0.07186544
Global,,1970,-0.08510657,-0.04413217,-0.12608096
Global,,1971,-0.20593274,-0.16735843,-0.24450706
Global,,1972,-0.0938271,-0.05593726,-0.13171694
Global,,1973,0.04993336,0.086398184,0.013468528
Global,,1974,-0.17253734,-0.1348509,-0.21022376
Global,,1975,-0.11075424,-0.07020335,-0.15130512
Global,,1976,-0.21586166,-0.17583954,-0.25588378
Global,,1977,0.10308852,0.14612034,0.060056705
Global,,1978,0.0052557723,0.04508841,-0.034576867
Global,,1979,0.09085813,0.119357646,0.062358618
Global,,1980,0.19607207,0.22934014,0.162804
Global,,1981,0.25001204,0.28063282,0.21939126
Global,,1982,0.034263328,0.07363132,-0.005104665
Global,,1983,0.22383861,0.2596032,0.18807402
Global,,1984,0.04800471,0.08444869,0.011560736
Global,,1985,0.04972978,0.08379609,0.015663471
Global,,1986,0.09568697,0.12696595,0.064408
Global,,1987,0.2430264,0.27386728,0.21218552
Global,,1988,0.28215173,0.31726816,0.2470353
Global,,1989,0.17925027,0.21400215,0.14449838
Global,,1990,0.36056247,0.39657268,0.32455227
Global,,1991,0.33889654,0.3737569,0.30403617
Global,,1992,0.124896795,0.15891153,0.09088206
Global,,1993,0.16565846,0.2031438,0.12817313
Global,,1994,0.23354977,0.2686866,0.19841294
Global,,1995,0.37686616,0.41007656,0.34365577
Global,,1996,0.2766894,0.31019878,0.24318004
Global,,1997,0.4223085,0.4545262,0.39009082
Global,,1998,0.57731646,0.6115888,0.54304415
Global,,1999,0.32448497,0.35613516,0.29283476
Global,,2000,0.3310848,0.36394167,0.29822788
Global,,2001,0.48928034,0.5204924,0.4580683
Global,,2002,0.5434665,0.57415116,0.51278186
Global,,2003,0.5441702,0.5770977,0.5112426
Global,,2004,0.46737072,0.5004031,0.43433833
Global,,2005,0.60686255,0.6380198,0.5757053
Global,,2006,0.5725527,0.60313237,0.541973
Global,,2007,0.5917013,0.6220495,0.56135315
Global,,2008,0.46564984,0.49864236,0.43265733
Global,,2009,0.5967817,0.6283077,0.56525564
Global,,2010,0.68037146,0.7116669,0.649076
Global,,2011,0.53769773,0.5693943,0.5060012
Global,,2012,0.5776071,0.6103589,0.5448553
Global,,2013,0.6235754,0.6586669,0.5884838
Global,,2014,0.67287165,0.7068384,0.63890487
Global,,2015,0.82511437,0.8589417,0.79128706
Global,,2016,0.93292713,0.96409065,0.90176356
Global,,2017,0.84517425,0.87557375,0.81477475
Global,,2018,0.762654,0.79425603,0.731052
Global,,2019,0.8910726,0.92535794,0.85678726
Global,,2020,0.9227938,0.9573755,0.8882121
Global,,2021,0.7618559,0.79826844,0.72544336
Global,,2022,0.80124223,0.83731264,0.7651718
Northern Hemisphere,,1850,-0.43579108,-0.23590226,-0.6356799
Northern Hemisphere,,1851,-0.21924901,-0.010099963,-0.42839807
Northern Hemisphere,,1852,-0.23570205,-0.013715232,-0.45768887
Northern Hemisphere,,1853,-0.24539217,-0.0275854,-0.46319896
Northern Hemisphere,,1854,-0.17490809,0.02128428,-0.37110046
Northern Hemisphere,,1855,-0.24564321,-0.041111458,-0.45017496
Northern Hemisphere,,1856,-0.33354086,-0.12911248,-0.53796923
Northern Hemisphere,,1857,-0.45139664,-0.24845001,-0.65434325
Northern Hemisphere,,1858,-0.3586044,-0.15512446,-0.5620843
Northern Hemisphere,,1859,-0.24764407,-0.054357383,-0.44093075
Northern Hemisphere,,1860,-0.45903206,-0.26152587,-0.65653825
Northern Hemisphere,,1861,-0.40554163,-0.16041897,-0.65066427
Northern Hemisphere,,1862,-0.7015686,-0.45545283,-0.9476844
Northern Hemisphere,,1863,-0.30135897,-0.028510837,-0.5742071
Northern Hemisphere,,1864,-0.46164352,-0.20509012,-0.7181969
Northern Hemisphere,,1865,-0.367516,-0.079618216,-0.6554138
Northern Hemisphere,,1866,-0.37373003,-0.11781737,-0.6296427
Northern Hemisphere,,1867,-0.40509325,-0.117926925,-0.69225955
Northern Hemisphere,,1868,-0.3587121,-0.101160586,-0.6162636
Northern Hemisphere,,1869,-0.24876358,-0.023645878,-0.47388127
Northern Hemisphere,,1870,-0.3120681,-0.109857984,-0.51427823
Northern Hemisphere,,1871,-0.44095552,-0.21912381,-0.66278726
Northern Hemisphere,,1872,-0.3570225,-0.15425391,-0.5597911
Northern Hemisphere,,1873,-0.3755952,-0.1802258,-0.57096463
Northern Hemisphere,,1874,-0.29373273,-0.09407458,-0.4933909
Northern Hemisphere,,1875,-0.48372233,-0.28744656,-0.6799981
Northern Hemisphere,,1876,-0.43496627,-0.2524682,-0.6174643
Northern Hemisphere,,1877,-0.10136229,0.07676787,-0.27949244
Northern Hemisphere,,1878,0.07121073,0.241525,-0.09910355
Northern Hemisphere,,1879,-0.33624864,-0.15824309,-0.51425415
Northern Hemisphere,,1880,-0.38399777,-0.2032995,-0.5646961
Northern Hemisphere,,1881,-0.28404993,-0.1150745,-0.45302534
Northern Hemisphere,,1882,-0.37297913,-0.19956523,-0.54639304
Northern Hemisphere,,1883,-0.42706347,-0.2677549,-0.586372
Northern Hemisphere,,1884,-0.63446146,-0.48669806,-0.7822249
Northern Hemisphere,,1885,-0.50963664,-0.3651323,-0.65414095
Northern Hemisphere,,1886,-0.4454663,-0.30295312,-0.5879795
Northern Hemisphere,,1887,-0.49421906,-0.3401963,-0.6482418
Northern Hemisphere,,1888,-0.37244922,-0.21291286,-0.5319856
Northern Hemisphere,,1889,-0.26046592,-0.10233628,-0.41859558
Northern Hemisphere,,1890,-0.5236722,-0.35745075,-0.68989366
Northern Hemisphere,,1891,-0.41190198,-0.24040791,-0.5833961
Northern Hemisphere,,1892,-0.57606024,-0.409722,-0.7423985
Northern Hemisphere,,1893,-0.5567236,-0.3884717,-0.72497547
Northern Hemisphere,,1894,-0.44259676,-0.27804273,-0.6071508
Northern Hemisphere,,1895,-0.44512075,-0.28192785,-0.6083137
Northern Hemisphere,,1896,-0.29344037,-0.13634379,-0.45053694
Northern Hemisphere,,1897,-0.25156042,-0.08939792,-0.41372293
Northern Hemisphere,,1898,-0.430447,-0.27788576,-0.5830083
Northern Hemisphere,,1899,-0.33304518,-0.1804844,-0.48560596
Northern Hemisphere,,1900,-0.19789775,-0.050857726,-0.34493777
Northern Hemisphere,,1901,-0.21493746,-0.056894362,-0.37298056
Northern Hemisphere,,1902,-0.459913,-0.3024967,-0.6173293
Northern Hemisphere,,1903,-0.50512433,-0.3572796,-0.6529691
Northern Hemisphere,,1904,-0.5783536,-0.42507932,-0.7316279
Northern Hemisphere,,1905,-0.40339717,-0.26466432,-0.54213005
Northern Hemisphere,,1906,-0.26034278,-0.102857746,-0.4178278
Northern Hemisphere,,1907,-0.53668755,-0.3984966,-0.67487854
Northern Hemisphere,,1908,-0.47782668,-0.33409297,-0.6215604
Northern Hemisphere,,1909,-0.49372384,-0.35927886,-0.62816876
Northern Hemisphere,,1910,-0.49141455,-0.34803772,-0.6347914
Northern Hemisphere,,1911,-0.4531457,-0.3179335,-0.5883579
Northern Hemisphere,,1912,-0.5302812,-0.3988102,-0.6617522
Northern Hemisphere,,1913,-0.4946916,-0.35834965,-0.63103354
Northern Hemisphere,,1914,-0.26909837,-0.1366655,-0.40153128
Northern Hemisphere,,1915,-0.17552477,-0.044242658,-0.30680686
Northern Hemisphere,,1916,-0.44348505,-0.30545333,-0.5815168
Northern Hemisphere,,1917,-0.58452386,-0.44661576,-0.7224319
Northern Hemisphere,,1918,-0.4693667,-0.33560666,-0.60312676
Northern Hemisphere,,1919,-0.37228045,-0.22952299,-0.51503795
Northern Hemisphere,,1920,-0.30915058,-0.16267608,-0.4556251
Northern Hemisphere,,1921,-0.16326092,-0.02079169,-0.30573016
Northern Hemisphere,,1922,-0.3025757,-0.1636251,-0.4415263
Northern Hemisphere,,1923,-0.2553121,-0.124701686,-0.38592252
Northern Hemisphere,,1924,-0.19269112,-0.058358077,-0.32702416
Northern Hemisphere,,1925,-0.16855866,-0.034430455,-0.30268684
Northern Hemisphere,,1926,-0.0019481456,0.13464679,-0.13854308
Northern Hemisphere,,1927,-0.106848285,0.01676272,-0.23045929
Northern Hemisphere,,1928,-0.0874137,0.049809888,-0.22463728
Northern Hemisphere,,1929,-0.33659348,-0.2038777,-0.46930927
Northern Hemisphere,,1930,-0.030012226,0.055881552,-0.11590601
Northern Hemisphere,,1931,0.0458628,0.13172503,-0.039999433
Northern Hemisphere,,1932,-0.037433486,0.05030237,-0.12516934
Northern Hemisphere,,1933,-0.26505136,-0.18164816,-0.3484546
Northern Hemisphere,,1934,-0.05340261,0.023465674,-0.1302709
Northern Hemisphere,,1935,-0.08655058,-0.009179108,-0.16392204
Northern Hemisphere,,1936,-0.060995486,0.012351831,-0.1343428
Northern Hemisphere,,1937,0.121766165,0.20081598,0.04271636
Northern Hemisphere,,1938,0.15948813,0.2321008,0.086875446
Northern Hemisphere,,1939,0.053391192,0.1315514,-0.024769008
Northern Hemisphere,,1940,0.12198081,0.20718788,0.036773752
Northern Hemisphere,,1941,0.07549032,0.23546262,-0.08448199
Northern Hemisphere,,1942,0.060141157,0.20882972,-0.0885474
Northern Hemisphere,,1943,0.112462394,0.26425323,-0.03932845
Northern Hemisphere,,1944,0.22006534,0.37537137,0.0647593
Northern Hemisphere,,1945,0.08353451,0.2433393,-0.07627028
Northern Hemisphere,,1946,-0.011474031,0.101032846,-0.12398091
Northern Hemisphere,,1947,0.044209387,0.14577532,-0.057356548
Northern Hemisphere,,1948,-0.0007787626,0.09658024,-0.098137766
Northern Hemisphere,,1949,-0.06751225,0.010986951,-0.14601146
Northern Hemisphere,,1950,-0.19089265,-0.1273016,-0.2544837
Northern Hemisphere,,1951,0.053849168,0.104031,0.0036673406
Northern Hemisphere,,1952,0.0698174,0.12473614,0.014898672
Northern Hemisphere,,1953,0.20657909,0.26373556,0.14942263
Northern Hemisphere,,1954,-0.03111773,0.020049032,-0.08228449
Northern Hemisphere,,1955,-0.12558742,-0.07102725,-0.1801476
Northern Hemisphere,,1956,-0.27912933,-0.2246122,-0.33364648
Northern Hemisphere,,1957,-0.03576782,0.015052757,-0.0865884
Northern Hemisphere,,1958,0.08269571,0.12914321,0.036248203
Northern Hemisphere,,1959,0.04707567,0.09297404,0.0011773051
Northern Hemisphere,,1960,0.0003964875,0.0403817,-0.039588727
Northern Hemisphere,,1961,-0.0067307907,0.027908131,-0.041369714
Northern Hemisphere,,1962,0.04820568,0.084408864,0.012002496
Northern Hemisphere,,1963,0.07036424,0.10955618,0.031172281
Northern Hemisphere,,1964,-0.26100203,-0.22459559,-0.29740846
Northern Hemisphere,,1965,-0.19513263,-0.15562546,-0.23463978
Northern Hemisphere,,1966,-0.08895999,-0.048284013,-0.12963596
Northern Hemisphere,,1967,-0.039132696,-0.0042270212,-0.07403837
Northern Hemisphere,,1968,-0.1392383,-0.10928779,-0.1691888
Northern Hemisphere,,1969,-0.10033807,-0.06844349,-0.13223265
Northern Hemisphere,,1970,-0.12249983,-0.09452218,-0.15047748
Northern Hemisphere,,1971,-0.22896299,-0.19930625,-0.25861976
Northern Hemisphere,,1972,-0.2498834,-0.22225873,-0.27750805
Northern Hemisphere,,1973,0.021601314,0.048390307,-0.0051876777
Northern Hemisphere,,1974,-0.24963334,-0.21793684,-0.28132984
Northern Hemisphere,,1975,-0.11088225,-0.083262615,-0.1385019
Northern Hemisphere,,1976,-0.25186262,-0.22498941,-0.27873585
Northern Hemisphere,,1977,0.07897045,0.10953727,0.048403617
Northern Hemisphere,,1978,-0.011896554,0.01668569,-0.0404788
Northern Hemisphere,,1979,0.031081047,0.058670934,0.0034911605
Northern Hemisphere,,1980,0.13930702,0.16897276,0.10964129
Northern Hemisphere,,1981,0.3399632,0.36973393,0.31019247
Northern Hemisphere,,1982,-0.00987823,0.019577553,-0.039334014
Northern Hemisphere,,1983,0.19221349,0.21962595,0.16480103
Northern Hemisphere,,1984,-0.02962185,-0.003187042,-0.05605666
Northern Hemisphere,,1985,-0.05202676,-0.020772371,-0.08328115
Northern Hemisphere,,1986,0.062017497,0.088687345,0.035347648
Northern Hemisphere,,1987,0.19571494,0.22498794,0.16644193
Northern Hemisphere,,1988,0.3156612,0.34324756,0.28807482
Northern Hemisphere,,1989,0.21736717,0.24547392,0.18926041
Northern Hemisphere,,1990,0.46398687,0.49251145,0.4354623
Northern Hemisphere,,1991,0.38519096,0.41325134,0.35713062
Northern Hemisphere,,1992,0.09690911,0.12752181,0.06629642
Northern Hemisphere,,1993,0.19244476,0.22104791,0.1638416
Northern Hemisphere,,1994,0.32322568,0.35187948,0.2945719
Northern Hemisphere,,1995,0.56863606,0.5986008,0.5386713
Northern Hemisphere,,1996,0.29174882,0.32099912,0.26249856
Northern Hemisphere,,1997,0.53472054,0.56475145,0.50468963
Northern Hemisphere,,1998,0.71429116,0.7466318,0.6819505
Northern Hemisphere,,1999,0.47636312,0.50733525,0.445391
Northern Hemisphere,,2000,0.48707607,0.51703346,0.4571187
Northern Hemisphere,,2001,0.62824297,0.6604842,0.5960018
Northern Hemisphere,,2002,0.6687142,0.69896436,0.6384641
Northern Hemisphere,,2003,0.7204716,0.751991,0.68895227
Northern Hemisphere,,2004,0.63348985,0.6647055,0.6022742
Northern Hemisphere,,2005,0.8313995,0.8632176,0.7995814
Northern Hemisphere,,2006,0.7947609,0.8272494,0.76227236
Northern Hemisphere,,2007,0.8321025,0.8638116,0.80039334
Northern Hemisphere,,2008,0.67170423,0.70359397,0.63981444
Northern Hemisphere,,2009,0.70673966,0.7384799,0.6749994
Northern Hemisphere,,2010,0.91949975,0.9509713,0.8880282
Northern Hemisphere,,2011,0.725346,0.7565571,0.69413495
Northern Hemisphere,,2012,0.7843316,0.8183202,0.7503431
Northern Hemisphere,,2013,0.77667415,0.8091966,0.7441518
Northern Hemisphere,,2014,0.907794,0.9390507,0.8765373
Northern Hemisphere,,2015,1.1308405,1.1658425,1.0958385
Northern Hemisphere,,2016,1.255193,1.2865372,1.2238488
Northern Hemisphere,,2017,1.1153969,1.1466073,1.0841864
Northern Hemisphere,,2018,0.95966166,0.99344534,0.92587805
Northern Hemisphere,,2019,1.1437434,1.179197,1.1082898
Northern Hemisphere,,2020,1.2757266,1.3145901,1.2368631
Northern Hemisphere,,2021,1.0779494,1.1159495,1.0399494
Northern Hemisphere,,2022,1.0988383,1.1398296,1.057847
Southern Hemisphere,,1850,-0.39952648,-0.16463266,-0.6344203
Southern Hemisphere,,1851,-0.24745059,-0.0015820131,-0.49331915
Southern Hemisphere,,1852,-0.2230961,0.013686325,-0.4598785
Southern Hemisphere,,1853,-0.2953167,-0.09696084,-0.49367258
Southern Hemisphere,,1854,-0.408352,-0.2359663,-0.58073765
Southern Hemisphere,,1855,-0.3482592,-0.17859428,-0.51792413
Southern Hemisphere,,1856,-0.30716658,-0.13698311,-0.47735003
Southern Hemisphere,,1857,-0.48306343,-0.31725222,-0.64887464
Southern Hemisphere,,1858,-0.41892695,-0.2481915,-0.58966243
Southern Hemisphere,,1859,-0.31474683,-0.14751346,-0.4819802
Southern Hemisphere,,1860,-0.32129827,-0.14846809,-0.49412847
Southern Hemisphere,,1861,-0.4530126,-0.26843223,-0.637593
Southern Hemisphere,,1862,-0.37122685,-0.183504,-0.5589497
Southern Hemisphere,,1863,-0.38732743,-0.18736538,-0.58728945
Southern Hemisphere,,1864,-0.4692299,-0.2675319,-0.6709279
Southern Hemisphere,,1865,-0.2976597,-0.09729888,-0.4980205
Southern Hemisphere,,1866,-0.30879125,-0.098725945,-0.5188566
Southern Hemisphere,,1867,-0.30883342,-0.101329826,-0.51633704
Southern Hemisphere,,1868,-0.3452093,-0.15202782,-0.5383908
Southern Hemisphere,,1869,-0.3843773,-0.20947365,-0.559281
Southern Hemisphere,,1870,-0.3437136,-0.19058974,-0.4968375
Southern Hemisphere,,1871,-0.29620588,-0.14825721,-0.44415456
Southern Hemisphere,,1872,-0.29906142,-0.14696205,-0.45116082
Southern Hemisphere,,1873,-0.30706945,-0.16328229,-0.45085666
Southern Hemisphere,,1874,-0.45276964,-0.30919933,-0.59633994
Southern Hemisphere,,1875,-0.26752955,-0.11974219,-0.4153169
Southern Hemisphere,,1876,-0.41325358,-0.25630686,-0.5702003
Southern Hemisphere,,1877,-0.10085537,0.053709403,-0.25542015
Southern Hemisphere,,1878,-0.09384111,0.055260982,-0.2429432
Southern Hemisphere,,1879,-0.27102003,-0.129719,-0.41232103
Southern Hemisphere,,1880,-0.24766637,-0.107116766,-0.388216
Southern Hemisphere,,1881,-0.18044113,-0.030170908,-0.33071133
Southern Hemisphere,,1882,-0.21808103,-0.0819207,-0.35424137
Southern Hemisphere,,1883,-0.26588535,-0.13484684,-0.39692387
Southern Hemisphere,,1884,-0.3501787,-0.21951486,-0.4808425
Southern Hemisphere,,1885,-0.43261054,-0.29519293,-0.5700281
Southern Hemisphere,,1886,-0.3963409,-0.2651231,-0.5275587
Southern Hemisphere,,1887,-0.50335246,-0.36154824,-0.6451567
Southern Hemisphere,,1888,-0.38630855,-0.26121715,-0.5113999
Southern Hemisphere,,1889,-0.23932517,-0.09794051,-0.38070983
Southern Hemisphere,,1890,-0.49004412,-0.3495878,-0.63050044
Southern Hemisphere,,1891,-0.39072788,-0.23712125,-0.54433453
Southern Hemisphere,,1892,-0.4390568,-0.2781414,-0.59997225
Southern Hemisphere,,1893,-0.43251488,-0.26753289,-0.59749687
Southern Hemisphere,,1894,-0.5249311,-0.3602846,-0.6895776
Southern Hemisphere,,1895,-0.45238245,-0.29701844,-0.6077465
Southern Hemisphere,,1896,-0.27457422,-0.11422582,-0.43492264
Southern Hemisphere,,1897,-0.2680399,-0.10403126,-0.43204856
Southern Hemisphere,,1898,-0.5411372,-0.37972128,-0.70255315
Southern Hemisphere,,1899,-0.37782213,-0.21720915,-0.5384351
Southern Hemisphere,,1900,-0.27106032,-0.10261331,-0.43950734
Southern Hemisphere,,1901,-0.37191966,-0.20621893,-0.53762037
Southern Hemisphere,,1902,-0.41805556,-0.25883815,-0.577273
Southern Hemisphere,,1903,-0.56152844,-0.405617,-0.7174399
Southern Hemisphere,,1904,-0.6167693,-0.46264827,-0.7708903
Southern Hemisphere,,1905,-0.4121055,-0.25416923,-0.5700418
Southern Hemisphere,,1906,-0.37793586,-0.22494154,-0.53093016
Southern Hemisphere,,1907,-0.47162786,-0.31813955,-0.62511617
Southern Hemisphere,,1908,-0.5499147,-0.4006159,-0.69921356
Southern Hemisphere,,1909,-0.57780594,-0.43172622,-0.72388566
Southern Hemisphere,,1910,-0.5706339,-0.421804,-0.7194638
Southern Hemisphere,,1911,-0.6252645,-0.47559103,-0.774938
Southern Hemisphere,,1912,-0.42106485,-0.28319576,-0.5589339
Southern Hemisphere,,1913,-0.43961346,-0.28134727,-0.59787965
Southern Hemisphere,,1914,-0.25608647,-0.095402285,-0.41677064
Southern Hemisphere,,1915,-0.20816307,-0.026306517,-0.3900196
Southern Hemisphere,,1916,-0.3969349,-0.20258217,-0.5912876
Southern Hemisphere,,1917,-0.5015152,-0.29008645,-0.71294403
Southern Hemisphere,,1918,-0.37980196,-0.14669779,-0.6129061
Southern Hemisphere,,1919,-0.278756,-0.052396983,-0.505115
Southern Hemisphere,,1920,-0.28801098,-0.085460976,-0.490561
Southern Hemisphere,,1921,-0.31809315,-0.12540604,-0.5107803
Southern Hemisphere,,1922,-0.37588054,-0.20932133,-0.54243976
Southern Hemisphere,,1923,-0.380549,-0.21068266,-0.5504154
Southern Hemisphere,,1924,-0.43143332,-0.25980884,-0.6030578
Southern Hemisphere,,1925,-0.39629188,-0.22192603,-0.57065773
Southern Hemisphere,,1926,-0.2437228,-0.077474445,-0.40997115
Southern Hemisphere,,1927,-0.35196185,-0.184115,-0.5198087
Southern Hemisphere,,1928,-0.3261094,-0.15029038,-0.50192845
Southern Hemisphere,,1929,-0.44891977,-0.2695351,-0.6283044
Southern Hemisphere,,1930,-0.32359856,-0.14240856,-0.5047886
Southern Hemisphere,,1931,-0.25265816,-0.08054844,-0.42476788
Southern Hemisphere,,1932,-0.25348985,-0.090981595,-0.41599813
Southern Hemisphere,,1933,-0.37963745,-0.21827076,-0.5410041
Southern Hemisphere,,1934,-0.2952711,-0.13371219,-0.45682997
Southern Hemisphere,,1935,-0.32556787,-0.16903456,-0.48210117
Southern Hemisphere,,1936,-0.27804637,-0.1318702,-0.42422256
Southern Hemisphere,,1937,-0.16016403,-0.000933085,-0.31939498
Southern Hemisphere,,1938,-0.18388958,-0.026539298,-0.34123987
Southern Hemisphere,,1939,-0.13498552,0.036351025,-0.30632207
Southern Hemisphere,,1940,0.029890874,0.22196795,-0.1621862
Southern Hemisphere,,1941,0.00076835766,0.27106845,-0.26953173
Southern Hemisphere,,1942,-0.057328977,0.2169602,-0.33161816
Southern Hemisphere,,1943,-0.099634245,0.19119431,-0.3904628
Southern Hemisphere,,1944,0.06814493,0.34902382,-0.21273397
